DateKey,OrderDate,RequiredDate,ShippedDate
1,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00
2,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00
3,1996-07-04 00:00:00,1996-08-01 00:00:00,1996-07-16 00:00:00
4,1996-07-05 00:00:00,1996-08-16 00:00:00,1996-07-10 00:00:00
5,1996-07-05 00:00:00,1996-08-16 00:00:00,1996-07-10 00:00:00
6,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00
7,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00
8,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-12 00:00:00
9,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00
10,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00
11,1996-07-08 00:00:00,1996-08-05 00:00:00,1996-07-15 00:00:00
12,1996-07-09 00:00:00,1996-08-06 00:00:00,1996-07-11 00:00:00
13,1996-07-09 00:00:00,1996-08-06 00:00:00,1996-07-11 00:00:00
14,1996-07-09 00:00:00,1996-08-06 00:00:00,1996-07-11 00:00:00
15,1996-07-10 00:00:00,1996-07-24 00:00:00,1996-07-16 00:00:00
16,1996-07-10 00:00:00,1996-07-24 00:00:00,1996-07-16 00:00:00
17,1996-07-10 00:00:00,1996-07-24 00:00:00,1996-07-16 00:00:00
18,1996-07-11 00:00:00,1996-08-08 00:00:00,1996-07-23 00:00:00
19,1996-07-11 00:00:00,1996-08-08 00:00:00,1996-07-23 00:00:00
20,1996-07-11 00:00:00,1996-08-08 00:00:00,1996-07-23 00:00:00
21,1996-07-12 00:00:00,1996-08-09 00:00:00,1996-07-15 00:00:00
22,1996-07-12 00:00:00,1996-08-09 00:00:00,1996-07-15 00:00:00
23,1996-07-12 00:00:00,1996-08-09 00:00:00,1996-07-15 00:00:00
24,1996-07-12 00:00:00,1996-08-09 00:00:00,1996-07-15 00:00:00
25,1996-07-15 00:00:00,1996-08-12 00:00:00,1996-07-17 00:00:00
26,1996-07-15 00:00:00,1996-08-12 00:00:00,1996-07-17 00:00:00
27,1996-07-16 00:00:00,1996-08-13 00:00:00,1996-07-22 00:00:00
28,1996-07-16 00:00:00,1996-08-13 00:00:00,1996-07-22 00:00:00
29,1996-07-16 00:00:00,1996-08-13 00:00:00,1996-07-22 00:00:00
30,1996-07-17 00:00:00,1996-08-14 00:00:00,1996-07-23 00:00:00
31,1996-07-17 00:00:00,1996-08-14 00:00:00,1996-07-23 00:00:00
32,1996-07-17 00:00:00,1996-08-14 00:00:00,1996-07-23 00:00:00
33,1996-07-18 00:00:00,1996-08-15 00:00:00,1996-07-25 00:00:00
34,1996-07-18 00:00:00,1996-08-15 00:00:00,1996-07-25 00:00:00
35,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-29 00:00:00
36,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-29 00:00:00
37,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-29 00:00:00
38,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-29 00:00:00
39,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-30 00:00:00
40,1996-07-19 00:00:00,1996-08-16 00:00:00,1996-07-30 00:00:00
41,1996-07-22 00:00:00,1996-08-19 00:00:00,1996-07-25 00:00:00
42,1996-07-22 00:00:00,1996-08-19 00:00:00,1996-07-25 00:00:00
43,1996-07-22 00:00:00,1996-08-19 00:00:00,1996-07-25 00:00:00
44,1996-07-23 00:00:00,1996-08-20 00:00:00,1996-07-31 00:00:00
45,1996-07-23 00:00:00,1996-08-20 00:00:00,1996-07-31 00:00:00
46,1996-07-23 00:00:00,1996-08-20 00:00:00,1996-07-31 00:00:00
47,1996-07-23 00:00:00,1996-08-20 00:00:00,1996-07-31 00:00:00
48,1996-07-24 00:00:00,1996-08-21 00:00:00,1996-08-23 00:00:00
49,1996-07-24 00:00:00,1996-08-21 00:00:00,1996-08-23 00:00:00
50,1996-07-25 00:00:00,1996-08-22 00:00:00,1996-08-12 00:00:00
51,1996-07-25 00:00:00,1996-08-22 00:00:00,1996-08-12 00:00:00
52,1996-07-26 00:00:00,1996-09-06 00:00:00,1996-07-31 00:00:00
53,1996-07-29 00:00:00,1996-08-26 00:00:00,1996-08-06 00:00:00
54,1996-07-29 00:00:00,1996-08-26 00:00:00,1996-08-06 00:00:00
55,1996-07-29 00:00:00,1996-08-26 00:00:00,1996-08-06 00:00:00
56,1996-07-30 00:00:00,1996-08-27 00:00:00,1996-08-02 00:00:00
57,1996-07-30 00:00:00,1996-08-27 00:00:00,1996-08-02 00:00:00
58,1996-07-31 00:00:00,1996-08-14 00:00:00,1996-08-09 00:00:00
59,1996-07-31 00:00:00,1996-08-14 00:00:00,1996-08-09 00:00:00
60,1996-08-01 00:00:00,1996-08-29 00:00:00,1996-08-02 00:00:00
61,1996-08-01 00:00:00,1996-08-29 00:00:00,1996-08-02 00:00:00
62,1996-08-01 00:00:00,1996-08-29 00:00:00,1996-08-30 00:00:00
63,1996-08-02 00:00:00,1996-08-30 00:00:00,1996-08-06 00:00:00
64,1996-08-02 00:00:00,1996-08-30 00:00:00,1996-08-06 00:00:00
65,1996-08-02 00:00:00,1996-08-30 00:00:00,1996-08-06 00:00:00
66,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00
67,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00
68,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00
69,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00
70,1996-08-05 00:00:00,1996-09-02 00:00:00,1996-08-12 00:00:00
71,1996-08-06 00:00:00,1996-09-03 00:00:00,1996-08-16 00:00:00
72,1996-08-06 00:00:00,1996-09-03 00:00:00,1996-08-16 00:00:00
73,1996-08-07 00:00:00,1996-09-04 00:00:00,1996-08-09 00:00:00
74,1996-08-07 00:00:00,1996-09-04 00:00:00,1996-08-09 00:00:00
75,1996-08-08 00:00:00,1996-08-22 00:00:00,1996-08-14 00:00:00
76,1996-08-08 00:00:00,1996-08-22 00:00:00,1996-08-14 00:00:00
77,1996-08-09 00:00:00,1996-09-06 00:00:00,1996-08-13 00:00:00
78,1996-08-09 00:00:00,1996-09-06 00:00:00,1996-08-13 00:00:00
79,1996-08-12 00:00:00,1996-09-09 00:00:00,1996-08-16 00:00:00
80,1996-08-12 00:00:00,1996-09-09 00:00:00,1996-08-16 00:00:00
81,1996-08-12 00:00:00,1996-09-09 00:00:00,1996-08-16 00:00:00
82,1996-08-12 00:00:00,1996-09-09 00:00:00,1996-08-16 00:00:00
83,1996-08-13 00:00:00,1996-09-10 00:00:00,1996-08-16 00:00:00
84,1996-08-14 00:00:00,1996-09-11 00:00:00,1996-09-12 00:00:00
85,1996-08-14 00:00:00,1996-09-11 00:00:00,1996-09-12 00:00:00
86,1996-08-14 00:00:00,1996-09-11 00:00:00,1996-09-12 00:00:00
87,1996-08-14 00:00:00,1996-08-28 00:00:00,1996-08-21 00:00:00
88,1996-08-14 00:00:00,1996-08-28 00:00:00,1996-08-21 00:00:00
89,1996-08-14 00:00:00,1996-08-28 00:00:00,1996-08-21 00:00:00
90,1996-08-15 00:00:00,1996-09-12 00:00:00,1996-08-21 00:00:00
91,1996-08-15 00:00:00,1996-09-12 00:00:00,1996-08-21 00:00:00
92,1996-08-16 00:00:00,1996-09-13 00:00:00,1996-08-23 00:00:00
93,1996-08-16 00:00:00,1996-09-13 00:00:00,1996-08-23 00:00:00
94,1996-08-16 00:00:00,1996-09-13 00:00:00,1996-08-23 00:00:00
95,1996-08-16 00:00:00,1996-09-13 00:00:00,1996-08-23 00:00:00
96,1996-08-19 00:00:00,1996-09-16 00:00:00,1996-08-27 00:00:00
97,1996-08-19 00:00:00,1996-09-16 00:00:00,1996-08-27 00:00:00
98,1996-08-19 00:00:00,1996-09-16 00:00:00,1996-08-27 00:00:00
99,1996-08-19 00:00:00,1996-09-16 00:00:00,1996-08-27 00:00:00
100,1996-08-20 00:00:00,1996-09-17 00:00:00,1996-08-26 00:00:00
101,1996-08-20 00:00:00,1996-09-17 00:00:00,1996-08-26 00:00:00
102,1996-08-20 00:00:00,1996-09-17 00:00:00,1996-08-26 00:00:00
103,1996-08-21 00:00:00,1996-09-18 00:00:00,1996-08-30 00:00:00
104,1996-08-21 00:00:00,1996-09-18 00:00:00,1996-08-30 00:00:00
105,1996-08-22 00:00:00,1996-09-19 00:00:00,1996-08-28 00:00:00
106,1996-08-22 00:00:00,1996-09-19 00:00:00,1996-08-28 00:00:00
107,1996-08-22 00:00:00,1996-09-19 00:00:00,1996-08-28 00:00:00
108,1996-08-23 00:00:00,1996-09-20 00:00:00,1996-09-03 00:00:00
109,1996-08-23 00:00:00,1996-09-20 00:00:00,1996-09-03 00:00:00
110,1996-08-26 00:00:00,1996-09-23 00:00:00,1996-08-28 00:00:00
111,1996-08-26 00:00:00,1996-09-23 00:00:00,1996-08-28 00:00:00
112,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-03 00:00:00
113,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-03 00:00:00
114,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-03 00:00:00
115,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-03 00:00:00
116,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-04 00:00:00
117,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-04 00:00:00
118,1996-08-27 00:00:00,1996-09-24 00:00:00,1996-09-04 00:00:00
119,1996-08-28 00:00:00,1996-09-25 00:00:00,1996-09-02 00:00:00
120,1996-08-29 00:00:00,1996-09-26 00:00:00,1996-09-11 00:00:00
121,1996-08-29 00:00:00,1996-09-26 00:00:00,1996-09-11 00:00:00
122,1996-08-29 00:00:00,1996-09-26 00:00:00,1996-09-11 00:00:00
123,1996-08-29 00:00:00,1996-09-26 00:00:00,1996-09-11 00:00:00
124,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00
125,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00
126,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00
127,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00
128,1996-08-30 00:00:00,1996-09-27 00:00:00,1996-09-05 00:00:00
