OrderKey,EmployeeKey,DateKey,ProductKey,ShipperKey,DiscountKey,OrderID,OrderDate,RequiredDate,EmployeeName,ProductName,ShippingCompany,ShippedDate,DiscountPrice,DiscountedUnitPrice
1,1,31,66,1,31,10258,1996-07-17 00:00:00,1996-08-14 00:00:00,NancyDavolio,Louisiana Hot Spiced Okra,Speedy Express,1996-07-23 00:00:00,3.4000001,13.6
2,1,202,49,3,202,10325,1996-10-09 00:00:00,1996-10-23 00:00:00,NancyDavolio,Maxilaku,Federal Shipping,1996-10-14 00:00:00,0,20
3,1,205,3,3,205,10325,1996-10-09 00:00:00,1996-10-23 00:00:00,NancyDavolio,Aniseed Syrup,Federal Shipping,1996-10-14 00:00:00,0,10
4,1,205,21,3,205,10325,1996-10-09 00:00:00,1996-10-23 00:00:00,NancyDavolio,Sir Rodney's Scones,Federal Shipping,1996-10-14 00:00:00,0,10
5,1,205,74,3,205,10325,1996-10-09 00:00:00,1996-10-23 00:00:00,NancyDavolio,Longlife Tofu,Federal Shipping,1996-10-14 00:00:00,0,10
6,1,277,15,1,277,10351,1996-11-11 00:00:00,1996-12-09 00:00:00,NancyDavolio,Genen Shouyu,Speedy Express,1996-11-20 00:00:00,0.77500004,14.725
7,1,337,3,3,337,10374,1996-12-05 00:00:00,1997-01-02 00:00:00,NancyDavolio,Aniseed Syrup,Federal Shipping,1996-12-09 00:00:00,0,10
8,1,337,21,3,337,10374,1996-12-05 00:00:00,1997-01-02 00:00:00,NancyDavolio,Sir Rodney's Scones,Federal Shipping,1996-12-09 00:00:00,0,10
9,1,337,74,3,337,10374,1996-12-05 00:00:00,1997-01-02 00:00:00,NancyDavolio,Longlife Tofu,Federal Shipping,1996-12-09 00:00:00,0,10
10,1,341,3,2,341,10376,1996-12-09 00:00:00,1997-01-06 00:00:00,NancyDavolio,Aniseed Syrup,United Package,1996-12-13 00:00:00,0.5,9.5
